id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Rental unit in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1 bath,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,60,1,496,2022-04-04,3.10,1,10,0,"22-RSTR-14107, 22-OSTR-14105"
885246,Condo in New Orleans · ★4.89 · 1 bedroom · 4 beds · 2 baths,4690952,Ashley,,Central Business District,29.94499,-90.07222,Entire home/apt,286,30,12,2022-12-31,0.12,1,346,1,17STR-05155
71624,Rental unit in New Orleans · ★4.94 · 1 bedroom · 1 bed · 1 bath,367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,150,3,290,2023-05-22,1.94,1,355,23,"21-RSTR-18609, 22-OSTR-20720"
891764,Guesthouse in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,897324,Renee,,Fairgrounds,29.98209,-90.08431,Entire home/apt,64,30,77,2022-10-02,0.62,1,89,1,
854997,Rental unit in New Orleans · ★4.78 · 1 bedroom · 2 beds · 1 bath,176809,Amy,,Marigny,29.96731,-90.05927,Entire home/apt,199,30,138,2023-04-16,1.09,1,179,1,City registration pending
74498,Rental unit in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 bath,391462,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,104,3,588,2023-06-05,3.95,3,262,45,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
866070,Townhouse in New Orleans · ★4.74 · 2 bedrooms · 2 beds · 2 baths,2488332,Caitlin,,East Carrollton,29.94795,-90.12494,Entire home/apt,50,30,80,2019-12-07,0.64,1,53,0,City registration pending
892623,Rental unit in New Orleans · ★4.68 · 1 bedroom · 1 bed · 1 bath,2103275,NOLA Festivals,,Fairgrounds,29.97781,-90.07797,Entire home/apt,140,30,69,2017-06-05,0.59,3,364,0,17STR-12315
79536,Rental unit in New Orleans · ★4.88 · 1 bedroom · 2 beds · 1 bath,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,65,2,644,2023-05-30,4.37,1,25,82,"21-RSTR-18550, 21-OSTR-18392"
895626,Home in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,4772370,Laurie,,Audubon,29.93823,-90.11176,Private room,81,1,287,2023-05-08,2.28,3,74,35,
872905,Rental unit in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1 bath,4606010,Monica,,City Park,29.98148,-90.09697,Entire home/apt,62,30,58,2021-11-05,0.46,1,122,0,17STR-09025
873413,Home in New Orleans · ★4.80 · 5 bedrooms · 13 beds · 4 baths,4271460,Christian,,Central City,29.935006370033513,-90.08173553236517,Entire home/apt,657,4,76,2023-05-07,0.60,4,273,2,"17STR-10632, 19-OSTR-0000"
79609,Guest suite in New Orleans · ★4.96 · 2 bedrooms · 2 beds · 1 private bath,428909,Stephen,,St. Claude,29.96448,-90.03667,Private room,119,3,468,2023-05-29,3.14,1,315,41,
896343,Rental unit in New Orleans · ★4.81 · 2 bedrooms · 3 beds · 1 bath,4778949,Rob,,West Riverside,29.92048,-90.12346,Entire home/apt,199,3,37,2023-02-26,0.32,2,331,2,"45STR-56876, 45-OSTR-5687"
80869,Home in New Orleans · ★4.82 · 1 bedroom · 1 bed · 2 shared baths,437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,889,2023-05-14,5.98,2,54,64,
896501,Rental unit in New Orleans · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4778949,Rob,,Audubon,29.92345,-90.12261,Entire home/apt,139,30,34,2023-05-21,0.29,2,299,4,"45STR-56877, 45-OSTR-5687"
880981,Rental unit in New Orleans · ★4.96 · 2 bedrooms · 2 beds · 1 bath,4660356,Maria Poole,,Mid-City,29.97237,-90.09663,Entire home/apt,152,30,209,2021-01-03,1.66,1,1,0,"19STR-21673, 19-OSTR-00000"
882473,Rental unit in New Orleans · ★4.89 · 2 bedrooms · 2 beds · 1 bath,4669579,Mary,,Marigny,29.96712,-90.05075,Entire home/apt,125,30,194,2023-05-23,1.54,1,267,21,"19STR-00000, 19-OSTR-0000"
84725,Boutique hotel in New Orleans · ★3.67 · 1 bedroom · 2 beds · 1 private bath,85132,Sanford,,Central City,29.93608,-90.07997,Private room,317,2,5,2016-01-01,0.04,8,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
885010,Home in New Orleans · ★4.39 · 1 bedroom · 2 beds · 1 bath,4688828,Cleotis,,St. Claude,29.97043,-90.0476,Entire home/apt,75,30,115,2017-07-02,0.91,1,0,0,City registration pending
89173,Rental unit in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1 bath,486093,Virginia,,Marigny,29.96364,-90.0591,Entire home/apt,125,3,468,2023-05-01,3.20,2,158,35,"22-RSTR-04939, 21-OSTR-03993"
1352100,Rental unit in New Orleans · ★4.97 · 1 bedroom · 1 bed · 1 bath,7338169,Susan,,Bywater,29.96197,-90.04433,Entire home/apt,180,3,274,2023-05-25,2.33,1,354,23,"20RSTR-31016, 20-OSTR-31012"
896709,Home in New Orleans · ★4.67 · 5 bedrooms · 1 bed · 2 baths,4782391,Marc,,Treme - Lafitte,29.97258,-90.07539,Entire home/apt,278,30,50,2020-02-23,0.40,1,364,0,17STR-05820
90806,Rental unit in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1 bath,485705,Tom,,Mid-City,29.97264,-90.09992,Entire home/apt,101,30,141,2020-01-04,0.99,1,342,0,17STR-05569
898632,Home in New Orleans · ★4.94 · 2 bedrooms · 3 beds · 1.5 baths,4370699,Deborah,,Audubon,29.94574,-90.11839,Entire home/apt,240,1,80,2023-05-22,0.64,1,238,10,"21-RSTR-15107, 20-OSTR-01124"
898685,Rental unit in New Orleans · ★4.90 · 1 bedroom · 1 bed · 1 bath,4796527,Jackson,,Central City,29.93694,-90.08212,Entire home/apt,90,2,512,2023-05-24,4.09,3,68,60,"22-RSTR-15749, 22-OSTR-17167"
1419885,Bed and breakfast in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7645369,Karen,,Algiers Point,29.95371,-90.04773,Private room,108,1,431,2023-05-21,3.82,2,252,45,
104089,Home in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 private bath,249527,Lee,,Bywater,29.96559,-90.02802,Private room,120,5,116,2023-03-17,0.79,1,0,3,
899644,Home in New Orleans · ★4.77 · 1 bedroom · 2 beds · 1 bath,4802918,Mark,,City Park,29.98015,-90.0949,Entire home/apt,125,2,35,2023-04-17,0.28,1,90,6,"22-RSTR-04358, 22-OSTR-06228"
183207,Home in New Orleans · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,437783,Joanne,,Marigny,29.96811,-90.05905,Private room,75,1,839,2023-05-21,5.89,2,48,62,
184478,Home in New Orleans · 2 bedrooms · 2 beds · 1 shared bath,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,199,2,2,2020-02-26,0.05,1,0,0,
