id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3083,Home in Oakland · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,3518,Traci,,Prescott,37.81013,-122.29266,Private room,50,3,57,2022-12-05,0.53,7,178,4,
3264,Home in Oakland · ★4.52 · 2 bedrooms · 1 bed · 1 shared bath,3241,Rebecca,,Temescal,37.83522,-122.26099,Private room,57,5,37,2022-09-08,0.22,4,7,1,
5739,Guest suite in Oakland · ★4.97 · Studio · 1 bed · 1 bath,9276,Leah And Gyorgy,,Oakland Ave-Harrison St,37.81352,-122.26055,Entire home/apt,122,4,311,2023-06-22,1.83,1,90,20,
23637,Home in Oakland · ★4.87 · 1 bedroom · 1 bed · 1 private bath,93339,Mika,,Montclair,37.82994,-122.20976,Private room,75,7,52,2022-08-27,0.32,1,363,1,
24916,Guest suite in Oakland · ★4.53 · Studio · 2 beds · 1 bath,98716,Judy,,Piedmont Avenue,37.83169,-122.25175,Entire home/apt,92,28,137,2023-05-19,0.87,3,91,11,
29521,Home in Oakland · ★4.63 · 2 bedrooms · 2 beds · 1 bath,124220,Kymi,,Shafter,37.83618,-122.25581,Entire home/apt,200,5,36,2022-11-23,0.25,2,0,1,
30026,Rental unit in Oakland · ★4.25 · 2 bedrooms · 2 beds · 1.5 baths,98716,Judy,,Temescal,37.8345,-122.26264,Entire home/apt,204,26,4,2023-06-12,0.03,3,258,2,
31573,Home in Oakland · ★4.48 · 3 bedrooms · 3 beds · 1.5 baths,98716,Judy,,Piedmont Avenue,37.83234,-122.25101,Entire home/apt,221,28,172,2023-01-24,1.12,3,327,20,
36702,Home in Oakland · ★4.89 · 2 bedrooms · 3 beds · 1 bath,119361,Vito,,Bushrod,37.84219,-122.26779,Entire home/apt,125,7,37,2023-04-25,0.24,1,226,5,
43343,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,147060,Jonathan,,Bushrod,37.84298,-122.26222,Entire home/apt,245,14,23,2019-06-24,0.22,2,0,0,
46787,Home in Oakland · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,3241,Rebecca,,Temescal,37.83571,-122.25887,Private room,74,14,16,2018-09-30,0.10,4,176,0,
46908,Home in Oakland · ★4.95 · 2 bedrooms · 4 beds · 1 bath,210654,Mercedes,,Upper Dimond,37.80252,-122.20828,Entire home/apt,165,30,19,2023-03-31,0.34,2,178,6,
56645,Home in Oakland · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,268781,Pam,,Millsmont,37.7769,-122.18037,Private room,39,4,41,2023-04-20,0.55,4,263,6,
85974,Guesthouse in Oakland · ★4.87 · 1 bedroom · 1 bed · 1 bath,471600,Ericka,,Shafter,37.84211,-122.25203,Entire home/apt,188,3,235,2023-06-17,1.59,1,356,6,
136250,Guesthouse in Oakland · ★5.0 · 2 bedrooms · 1 bed · 1 bath,667229,Mark,,Merriwood,37.83699,-122.21452,Entire home/apt,80,30,13,2023-04-11,0.17,1,22,2,
151422,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,729004,Amy,,Adams Point,37.81089,-122.25396,Entire home/apt,160,1,10,2022-07-09,0.10,1,204,2,
155999,Home in Oakland · ★4.62 · 1 bedroom · 1 bed · 1 shared bath,406693,Andrew,,Lynn-Highland Park,37.79728,-122.23555,Private room,40,7,13,2017-11-01,0.09,2,37,0,
169599,Guest suite in Oakland · ★4.65 · 2 bedrooms · 1 bed · 1 bath,808353,Marlene,,Millsmont,37.77847,-122.17615,Entire home/apt,115,2,193,2019-12-24,1.34,1,235,0,
208186,Home in Oakland · ★4.74 · 1 bedroom · 1 bed · 1 private bath,1024552,LaurieAnn,,Cleveland Heights,37.80732,-122.24293,Private room,69,3,304,2023-04-30,2.14,2,256,7,
242472,Guest suite in Oakland · ★4.51 · 1 bedroom · 1 bed · 1 private bath,1272555,Amy,,Rockridge,37.84453,-122.25127,Private room,139,2,209,2022-10-03,1.47,2,179,3,
266996,Condo in Oakland · ★4.78 · Studio · 2 beds · 1 bath,1399511,Janet & Fred,,Northgate,37.81307,-122.2678,Entire home/apt,79,31,126,2023-06-01,0.90,1,313,3,
341704,Home in Oakland · ★4.75 · 2 bedrooms · 2 beds · 1 bath,1700817,Jennifer,,Temescal,37.83461,-122.25536,Entire home/apt,138,4,28,2017-12-31,0.21,1,0,0,
348534,Home in Oakland · ★4.64 · 2 bedrooms · 1 bed · 1 bath,1766074,Michael,,Forestland,37.8449,-122.20309,Entire home/apt,106,2,117,2023-04-07,0.89,1,196,5,
352676,Home in Oakland · ★4.90 · 1 bedroom · 2 beds · 1 bath,1785828,Rebecca,,Bushrod,37.84194,-122.26528,Entire home/apt,70,2,200,2023-03-13,1.50,1,312,15,
387039,Rental unit in Oakland · ★4.74 · Studio · 1 bed · 1 private bath,1936623,Trevor,,Bushrod,37.84225,-122.26756,Private room,69,60,20,2022-09-30,0.15,3,313,1,
387040,Rental unit in Oakland · ★4.88 · 1 bedroom · 2 beds · 1 bath,1936623,Trevor,,Bushrod,37.84214,-122.26748,Entire home/apt,99,61,8,2015-08-31,0.07,3,365,0,
489957,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,38166,Natalie,,Shafter,37.83706,-122.25786,Private room,85,3,4,2022-09-28,0.03,1,0,2,
503632,Home in Oakland · ★4.81 · 2 bedrooms · 3 beds · 1 bath,1481714,Susie,,Shafter,37.83885,-122.25628,Entire home/apt,197,3,200,2023-06-04,1.50,1,61,14,
504137,Home in Oakland · ★4.93 · 1 bedroom · 1 bed · 1 bath,2486127,Serena,,Sausal Creek,37.79756,-122.22064,Private room,75,7,14,2022-12-01,0.11,1,334,1,
510260,Bungalow in Oakland · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,176669,Barbara,,Longfellow,37.83388,-122.27236,Private room,54,1,408,2023-01-24,3.05,1,23,15,
515183,Condo in Oakland · ★4.89 · 2 bedrooms · 1 bed · 1.5 baths,266136,Stephen,,Shafter,37.842,-122.25807,Entire home/apt,299,3,39,2023-05-15,0.30,1,358,3,
518786,Home in Oakland · ★4.77 · 2 bedrooms · 2 beds · 1 bath,1272555,Amy,,Shafter,37.84171,-122.25377,Entire home/apt,495,3,13,2023-02-23,0.23,2,263,3,
520075,Home in Oakland · ★4.80 · 4 bedrooms · 5 beds · 2 baths,2559751,Sylvie,,Fairview Park,37.84661,-122.25534,Entire home/apt,350,4,5,2017-08-16,0.04,1,179,0,
527348,Home in Oakland · ★4.50 · 1 bedroom · 1 bed · 1 bath,627498,Monika,,Castlemont,37.7535,-122.16069,Entire home/apt,112,7,41,2021-08-30,0.31,1,71,0,
